Organism,fur,marine/terrestrial,kingdom,feathers,scales,fins,"carnivore, omni, herb, NA",vertibrate,eggs/ live young/ NA,photosynthesis,multicellular/unicellular,wings,how many legs,auto/heterotroph,poisonous,cold/ warm blooded/NA,Eukaryotic/Prokaryotic,decomposer,hooves,long tail,domesticated
cat,yes,terrestrial,animalia,no,no,no,carnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,yes
dog,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,yes
chimpanzee,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
pig,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,no,yes
cow,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,yes,yes
bear,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
panda,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
fox,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
rattlesnake,no,terrestrial,animalia,no,yes,no,carnivore,yes,eggs,no,multicellular,no,0,heterotroph,yes,cold,Eukaryotic,no,no,yes,no
rabbit,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,yes
hamster,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,yes
clownfish,no,marine,animalia,no,yes,yes,omnivore,yes,eggs,no,multicellular,no,0,heterotroph,no,cold,Eukaryotic,no,no,no,yes
whale,no,marine,animalia,no,no,yes,omnivore,yes,live young,no,multicellular,no,0,heterotroph,no,warm,Eukaryotic,no,no,yes,no
shark,no,marine,animalia,no,no,yes,carnivore,yes,live young,no,multicellular,no,0,heterotroph,no,cold,Eukaryotic,no,no,yes,no
opossum,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
deer,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,no,no
seal,no,terrestrial,animalia,no,no,yes,carnivore,yes,live young,no,multicellular,no,0,heterotroph,no,warm,Eukaryotic,no,no,yes,no
flamingo,no,terrestrial,animalia,no,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
tucan,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,no
weasel,no,terrestrial,animalia,no,no,no,carnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
duck,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,yes
chicken,no,terrestrial,animalia,yes,no,no,omnivore,yes,eggs,no,multicellular,yes,2,heterotroph,no,warm,Eukaryotic,no,no,no,yes
red panda,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
hippopotamus,no,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,no,no
giraffe,yes,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,yes,no
wolf,yes,terrestrial,animalia,no,no,no,carnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
mouse,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,yes
rhinoceros,no,terrestrial,animalia,no,no,no,herbivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,yes,no,no
lemur,yes,terrestrial,animalia,no,no,no,omnivore,yes,live young,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,yes,no
dolphin,no,marine,animalia,no,no,yes,carnivore,yes,live young,no,multicellular,no,0,heterotroph,no,warm,Eukaryotic,no,no,yes,no
moss,no,terrestrial,plantae,no,no,no,NA,no,NA,yes,multicellular,no,0,autotroph,no,NA,Eukaryotic,no,no,no,no
pine tree,no,terrestrial,plantae,no,no,no,NA,no,NA,yes,multicellular,no,0,autotroph,no,NA,Eukaryotic,no,no,no,no
palm tree,no,terrestrial,plantae,no,no,no,NA,no,NA,yes,multicellular,no,0,autotroph,no,NA,Eukaryotic,no,no,no,no
poison ivy,no,terrestrial,plantae,no,no,no,NA,no,NA,yes,multicellular,no,0,autotroph,yes,NA,Eukaryotic,no,no,no,no
oak tree,no,terrestrial,plantae,no,no,no,NA,no,NA,yes,multicellular,no,0,autotroph,no,NA,Eukaryotic,no,no,no,no
sloth,yes,terrestrial,animalia,no,no,no,omnivore,yes,NA,no,multicellular,no,4,heterotroph,no,warm,Eukaryotic,no,no,no,no
